id,category_id
aagrillxxxxx261688801011,45
abacoagolfcl268885801199,61
abacusbusine284586814547,37
abbalételavi257688801366,37
abbesdonutsh270467822499,37
abbottstatio282351821827,24
abclobsterco260759802112,37
abcpizzahous278767823264,26
abcrestauran257876801939,42
abestricount260060801484,42
abitofsaigon302854814887,5
abosarasotax273355825397,28
abovethewave261179801047,37
abranchoflea287025813461,55
abrazoxxxxxx303365861656,52
absofruitlyx284151812401,37
absolutelyou260330801562,9
absolutethai304902864946,4
aburgerandwh302911813917,40
aburgerandwh302911813917,27
acapulcocafe274930817964,14
acapulcomexi298957813114,37
acesneightsx280328824281,40
acesneightsx280328824281,26
acgriffinand306343817557,42
achsahsjamai261658802236,18
ackeesaltfis276772804080,18
ackeetreejam261663801715,18
ackermansnei261087817700,37
acmeicehouse302816860197,24
acmeicehouse302816860197,40
acmeicehouse302816860197,28
aconchegobar262313801020,17
acoresdistri295486812118,48
acostasalesa302562815991,42
acquapazzari248250808153,19
acquapazzari248250808153,28
acquapazzari248250808153,31
acskybarxxxx285387813811,40
activateacai284044814570,55
adaptfreshne282504827249,37
adbuffalosxx304366842539,24
adbuffalosxx304366842539,27
addiktxxxxxx257686801887,37
addiswonduxx304121843031,45
adelaskitche283049814489,37
admiraldales272145807953,40
adprivatebar258004801870,40
adrianoscafe279161827585,45
adriaticcafe279418827445,37
adryanaslati280163821228,37
adventelrest284985813955,18
adventistcom265641819452,42
aecaribbeanc264727800976,18
aegeanexpres304109867566,49
aerojuicexxx260115802506,55
aerojuicexxx263136800850,55
aerojuicexxx263394800866,55
afcfranchise257909801297,2
afcliquorlou281044819723,40
affordableca280406825096,42
africancuisi280337824683,24
africancuisi280337824683,12
africancuisi280337824683,13
africanuniqu297000823694,13
afterbodymea291752810260,60
afterbodymea291752810260,55
agapibistrog304267871784,37
agaveazulmex303898863257,40
agaveazulmex303898863257,28
agaveazulmex303898863257,14
agavemexican307116849172,14
agavetacobar260902802502,40
agavetacobar260902802502,60
agavetacobar260902802502,46
agavetacobar260902802502,14
agaveveganba260637802611,32
agavexxxxxxx258131803547,40
agavexxxxxxx258131803547,46
agavexxxxxxx258131803547,14
agavexxxxxxx258131803547,60
agavexxxxxxx258131803547,31
agoldentaste292132810301,18
aguamarinase259020802109,37
aguarojamiam257471803389,40
aguyandadeli258022801911,37
ahaduethiopi302782817549,13
ahisushibarx257659802200,2
ahisushixxxx272678825007,2
ahmedindiang285572812079,9
ahmedindiang285572812079,38
ahmedindiang285572812079,7
airportdiner258085802714,37
airporthange287870812228,40
aizasalonatm284942814290,43
ajafoodtruck257336803044,27
ajafoodtruck258021801926,27
ajdelunascaf245518818022,24
ajdelunascaf245518818022,28
ajdelunascaf245518818022,44
ajdistributi278344826864,42
ajiacosresta259860801617,17
ajiacosresta259860801617,52
ajicarbonsun259296801230,17
ajicarbonsun259296801230,44
ajicevichexx257688803331,17
ajilimonperu261891816877,32
ajilimonperu261891816877,17
ajilimonperu261891816877,28
ajskitchenco299601815194,37
ajspizzasubs268084800727,19
ajspizzasubs268084800727,26
ajspizzasubs268084800727,27
ajsportsbarx304495843113,40
akarisushixx305346872754,37
akashijapane257272802433,2
akelsdelixxx303207816718,37
akinporterpr280122821364,48
akiyohibachi268843801052,2
aklanbuffeta257745801890,6
alabamajoesf265265801866,40
alabamajoesf265265801866,24
alabamajoesf265265801866,27
alabamajoesf265265801866,45
alabartolaxx257615803274,46
alacartedeli258074801909,60
alacartexxxx302901813930,61
alacatimedit259868801338,40
alacatimedit259868801338,49
alacatimedit259868801338,9
alachuasport297923824950,40
alacksreculi273471825235,42
aladdinmedit280452827377,49
aladinsgrill279643824344,49
aladinsgrill279643824344,51
alamomexican282540806838,14
alaskaicecor258434802871,42
